Time,CO₂(ppm),Temperature(C),Humidity(%),Pressure(hPa)
5/03/2021 9:15:14 a. m.,"587","23,2","51","736"
5/03/2021 9:16:14 a. m.,"614","23,5","51","735"
5/03/2021 9:17:14 a. m.,"456","24,1","48","735"
5/03/2021 9:18:14 a. m.,"447","23,8","50","735"
5/03/2021 9:19:14 a. m.,"465","23,5","51","735"
5/03/2021 9:20:14 a. m.,"453","23,6","51","735"
5/03/2021 9:21:14 a. m.,"440","23,8","51","735"
5/03/2021 9:22:14 a. m.,"412","23,8","51","735"
5/03/2021 9:23:14 a. m.,"430","23,8","50","735"
5/03/2021 9:24:14 a. m.,"453","23,9","51","735"
5/03/2021 9:25:14 a. m.,"430","24,2","48","735"
5/03/2021 9:26:14 a. m.,"440","24,1","47","735"
5/03/2021 9:27:14 a. m.,"470","23,9","48","735"
5/03/2021 9:28:14 a. m.,"440","23,7","48","735"
5/03/2021 9:29:14 a. m.,"425","23,5","49","735"
5/03/2021 9:30:14 a. m.,"432","23,5","49","735"
5/03/2021 9:31:14 a. m.,"427","23,1","50","735"
5/03/2021 9:32:14 a. m.,"653","22,9","52","734"
5/03/2021 9:33:14 a. m.,"551","23,0","52","732"
5/03/2021 9:34:14 a. m.,"523","23,2","51","729"
5/03/2021 9:35:14 a. m.,"544","23,5","50","726"
5/03/2021 9:36:14 a. m.,"574","23,8","50","724"
5/03/2021 9:37:14 a. m.,"518","24,0","48","720"
5/03/2021 9:38:14 a. m.,"496","24,4","47","718"
5/03/2021 9:39:14 a. m.,"510","24,6","46","715"
5/03/2021 9:40:14 a. m.,"546","24,8","45","712"
5/03/2021 9:41:14 a. m.,"528","24,9","45","709"
5/03/2021 9:42:14 a. m.,"524","25,0","44","705"
5/03/2021 9:43:14 a. m.,"539","25,0","43","702"
5/03/2021 9:44:14 a. m.,"536","24,9","43","698"
5/03/2021 9:45:14 a. m.,"547","24,9","42","696"
5/03/2021 9:46:14 a. m.,"715","24,9","44","696"
5/03/2021 9:47:14 a. m.,"847","25,0","44","694"
5/03/2021 9:48:14 a. m.,"727","25,0","43","692"
5/03/2021 9:49:14 a. m.,"690","25,1","43","689"
5/03/2021 9:50:14 a. m.,"698","25,1","43","686"
5/03/2021 9:51:14 a. m.,"648","25,1","42","684"
5/03/2021 9:52:14 a. m.,"657","25,1","42","681"
5/03/2021 9:53:14 a. m.,"671","25,2","42","680"
5/03/2021 9:54:14 a. m.,"773","25,4","43","680"
5/03/2021 9:55:14 a. m.,"657","25,6","41","680"
5/03/2021 9:56:14 a. m.,"554","25,6","39","678"
5/03/2021 9:57:14 a. m.,"533","25,5","38","679"
5/03/2021 9:58:14 a. m.,"505","25,4","36","681"
5/03/2021 9:59:14 a. m.,"506","25,3","34","683"
5/03/2021 10:00:14 a. m.,"471","25,1","34","683"
5/03/2021 10:01:14 a. m.,"513","25,0","35","684"
5/03/2021 10:02:14 a. m.,"476","24,9","36","685"
5/03/2021 10:03:14 a. m.,"513","25,0","36","686"
5/03/2021 10:04:14 a. m.,"503","25,2","36","686"
5/03/2021 10:05:14 a. m.,"544","25,6","35","687"
5/03/2021 10:06:14 a. m.,"570","25,8","35","688"
5/03/2021 10:07:14 a. m.,"563","26,3","34","688"
5/03/2021 10:08:14 a. m.,"617","26,6","35","689"
5/03/2021 10:09:14 a. m.,"621","27,1","35","689"
5/03/2021 10:10:14 a. m.,"713","27,2","35","689"
5/03/2021 10:11:14 a. m.,"742","27,2","35","690"
5/03/2021 10:12:14 a. m.,"783","27,3","35","690"
5/03/2021 10:13:14 a. m.,"916","27,4","35","689"
5/03/2021 10:14:14 a. m.,"889","27,5","35","689"
5/03/2021 10:15:14 a. m.,"842","27,5","35","689"
5/03/2021 10:16:14 a. m.,"662","27,6","34","689"
5/03/2021 10:17:14 a. m.,"581","27,6","33","689"
5/03/2021 10:18:14 a. m.,"570","27,6","33","689"
5/03/2021 10:19:14 a. m.,"616","27,7","34","688"
5/03/2021 10:20:14 a. m.,"584","27,8","33","689"
5/03/2021 10:21:14 a. m.,"522","27,9","34","689"
5/03/2021 10:22:14 a. m.,"489","28,0","32","688"
5/03/2021 10:23:14 a. m.,"439","28,1","32","688"
5/03/2021 10:24:14 a. m.,"449","28,2","32","689"
5/03/2021 10:25:14 a. m.,"426","28,2","32","688"
5/03/2021 10:26:14 a. m.,"468","28,3","32","688"
5/03/2021 10:27:14 a. m.,"453","28,4","32","688"
5/03/2021 10:28:14 a. m.,"440","28,5","32","688"
5/03/2021 10:29:14 a. m.,"422","28,5","32","688"
5/03/2021 10:30:14 a. m.,"422","28,6","32","688"
5/03/2021 10:31:14 a. m.,"457","28,7","31","688"
5/03/2021 10:32:14 a. m.,"437","28,8","31","688"
5/03/2021 10:33:14 a. m.,"444","28,9","31","688"
5/03/2021 10:34:14 a. m.,"459","29,0","31","688"
5/03/2021 10:35:14 a. m.,"453","29,2","31","688"
5/03/2021 10:36:14 a. m.,"431","29,4","29","688"
5/03/2021 10:37:14 a. m.,"444","29,5","29","688"
5/03/2021 10:38:14 a. m.,"430","29,7","30","688"
5/03/2021 10:39:14 a. m.,"473","30,5","29","689"
5/03/2021 10:40:14 a. m.,"509","32,6","24","688"
5/03/2021 10:41:14 a. m.,"509","34,5","22","688"
5/03/2021 10:42:14 a. m.,"526","36,0","22","688"
5/03/2021 10:43:14 a. m.,"508","36,9","20","688"
5/03/2021 10:44:14 a. m.,"522","37,2","19","688"
5/03/2021 10:45:14 a. m.,"500","36,7","20","688"
5/03/2021 10:46:14 a. m.,"475","35,8","19","688"
5/03/2021 10:47:14 a. m.,"482","35,3","20","688"
5/03/2021 10:48:14 a. m.,"446","34,2","20","688"
5/03/2021 10:49:14 a. m.,"462","33,2","22","688"
5/03/2021 10:50:14 a. m.,"468","32,2","22","688"
5/03/2021 10:51:14 a. m.,"433","31,2","23","688"
5/03/2021 10:52:14 a. m.,"439","30,5","24","688"
5/03/2021 10:53:14 a. m.,"430","30,0","25","688"
5/03/2021 10:54:14 a. m.,"437","29,5","25","688"
5/03/2021 10:55:14 a. m.,"448","29,4","26","688"
5/03/2021 10:56:14 a. m.,"477","30,6","24","688"
5/03/2021 10:57:14 a. m.,"475","31,7","24","688"
5/03/2021 10:58:14 a. m.,"497","32,7","23","688"
5/03/2021 10:59:14 a. m.,"477","33,2","23","688"
5/03/2021 11:00:14 a. m.,"472","33,3","22","688"
5/03/2021 11:01:14 a. m.,"481","33,8","22","688"
5/03/2021 11:02:14 a. m.,"491","34,9","21","688"
5/03/2021 11:03:14 a. m.,"495","35,8","20","688"
5/03/2021 11:04:14 a. m.,"521","36,8","20","688"
5/03/2021 11:05:14 a. m.,"477","37,8","18","688"
5/03/2021 11:06:14 a. m.,"517","38,7","18","688"
5/03/2021 11:07:14 a. m.,"532","39,1","18","688"
5/03/2021 11:08:14 a. m.,"499","39,8","17","688"
5/03/2021 11:09:14 a. m.,"512","40,2","16","688"
5/03/2021 11:10:14 a. m.,"475","40,5","15","688"
5/03/2021 11:11:14 a. m.,"481","40,5","15","688"
5/03/2021 11:12:14 a. m.,"528","40,4","16","688"
5/03/2021 11:13:14 a. m.,"485","40,8","16","688"
5/03/2021 11:14:14 a. m.,"526","40,5","16","688"
5/03/2021 11:15:14 a. m.,"508","40,0","15","688"
5/03/2021 11:16:14 a. m.,"7179","38,3","26","688"
5/03/2021 11:17:14 a. m.,"534","36,5","18","688"
5/03/2021 11:18:14 a. m.,"445","35,3","18","688"
5/03/2021 11:19:14 a. m.,"449","33,2","22","688"
5/03/2021 11:20:14 a. m.,"429","34,0","20","688"
5/03/2021 11:21:14 a. m.,"458","33,9","21","688"
5/03/2021 11:22:14 a. m.,"407","32,3","23","688"
5/03/2021 11:23:14 a. m.,"434","32,5","24","688"
5/03/2021 11:24:14 a. m.,"454","32,2","23","688"
5/03/2021 11:25:14 a. m.,"467","33,5","24","688"
5/03/2021 11:26:14 a. m.,"479","34,7","22","688"
5/03/2021 11:27:14 a. m.,"456","36,5","20","688"
5/03/2021 11:28:14 a. m.,"450","37,8","18","688"
5/03/2021 11:29:14 a. m.,"461","39,2","17","688"
5/03/2021 11:30:14 a. m.,"469","39,2","17","688"
5/03/2021 11:31:14 a. m.,"485","38,3","18","688"
5/03/2021 11:32:14 a. m.,"454","38,4","18","688"
5/03/2021 11:33:14 a. m.,"474","39,5","17","688"
5/03/2021 11:34:14 a. m.,"434","39,7","16","688"
5/03/2021 11:35:14 a. m.,"494","41,2","16","688"
5/03/2021 11:36:14 a. m.,"488","42,5","15","688"
5/03/2021 11:37:14 a. m.,"469","43,3","15","688"
5/03/2021 11:38:14 a. m.,"496","42,5","14","688"
5/03/2021 11:39:14 a. m.,"468","43,7","14","688"
5/03/2021 11:40:14 a. m.,"584","41,5","18","687"
5/03/2021 11:41:14 a. m.,"558","39,1","20","687"
5/03/2021 11:42:14 a. m.,"558","37,1","22","687"
5/03/2021 11:43:14 a. m.,"482","36,2","22","687"
5/03/2021 11:44:14 a. m.,"454","35,9","23","687"
5/03/2021 11:45:14 a. m.,"454","35,9","23","687"
5/03/2021 11:46:14 a. m.,"442","36,0","23","687"
5/03/2021 11:47:14 a. m.,"449","36,0","23","687"
5/03/2021 11:48:14 a. m.,"473","36,0","22","687"
5/03/2021 11:49:14 a. m.,"451","35,8","22","687"
5/03/2021 11:50:14 a. m.,"453","35,5","22","687"
5/03/2021 11:51:14 a. m.,"444","35,2","22","687"
5/03/2021 11:52:14 a. m.,"429","34,7","22","687"
5/03/2021 11:53:14 a. m.,"405","34,4","22","687"
5/03/2021 11:54:14 a. m.,"440","34,2","22","687"
5/03/2021 11:55:14 a. m.,"422","34,0","23","687"
5/03/2021 11:56:14 a. m.,"436","34,0","23","687"
5/03/2021 11:57:14 a. m.,"456","33,9","23","687"
5/03/2021 11:58:14 a. m.,"433","33,7","23","687"
5/03/2021 11:59:14 a. m.,"458","33,5","23","687"
5/03/2021 12:00:14 p. m.,"453","33,3","23","687"
5/03/2021 12:01:14 p. m.,"418","33,2","23","687"
5/03/2021 12:02:14 p. m.,"453","33,0","23","687"
5/03/2021 12:03:14 p. m.,"440","32,8","23","687"
5/03/2021 12:04:14 p. m.,"416","32,5","23","687"
5/03/2021 12:05:14 p. m.,"453","32,2","24","687"
5/03/2021 12:06:14 p. m.,"420","31,8","24","687"
5/03/2021 12:07:14 p. m.,"438","31,4","24","687"
5/03/2021 12:08:14 p. m.,"442","31,1","24","687"
5/03/2021 12:09:14 p. m.,"438","30,9","24","687"
5/03/2021 12:10:14 p. m.,"398","30,7","24","687"
5/03/2021 12:11:14 p. m.,"422","30,6","24","687"
5/03/2021 12:12:14 p. m.,"427","30,5","24","687"
5/03/2021 12:13:14 p. m.,"438","30,4","24","687"
5/03/2021 12:14:14 p. m.,"444","30,4","25","687"
5/03/2021 12:15:14 p. m.,"445","30,2","25","687"
5/03/2021 12:16:14 p. m.,"438","30,1","25","687"
5/03/2021 12:17:14 p. m.,"429","30,0","25","687"
5/03/2021 12:18:14 p. m.,"420","29,9","25","687"
5/03/2021 12:19:14 p. m.,"425","29,9","25","687"
5/03/2021 12:20:14 p. m.,"418","29,8","25","687"
5/03/2021 12:21:14 p. m.,"435","29,6","25","687"
5/03/2021 12:22:14 p. m.,"436","29,5","25","687"
5/03/2021 12:23:14 p. m.,"436","29,4","25","687"
5/03/2021 12:24:14 p. m.,"437","29,2","26","687"
5/03/2021 12:25:14 p. m.,"422","29,1","26","687"
5/03/2021 12:26:14 p. m.,"440","28,9","26","687"
5/03/2021 12:27:14 p. m.,"404","28,8","26","687"
5/03/2021 12:28:14 p. m.,"427","28,6","26","687"
5/03/2021 12:29:14 p. m.,"446","28,4","26","687"
5/03/2021 12:30:14 p. m.,"433","28,2","26","687"
5/03/2021 12:31:14 p. m.,"440","28,0","26","687"
5/03/2021 12:32:14 p. m.,"416","27,8","26","687"
5/03/2021 12:33:14 p. m.,"416","27,7","27","687"
5/03/2021 12:34:14 p. m.,"411","27,6","27","687"
5/03/2021 12:35:14 p. m.,"440","27,5","27","687"
5/03/2021 12:36:14 p. m.,"418","27,5","27","687"
5/03/2021 12:37:14 p. m.,"446","27,5","27","687"
5/03/2021 12:38:14 p. m.,"426","27,4","28","687"
5/03/2021 12:39:14 p. m.,"437","27,2","28","687"
5/03/2021 12:40:14 p. m.,"444","27,1","28","687"
5/03/2021 12:41:14 p. m.,"420","27,0","28","687"
5/03/2021 12:42:14 p. m.,"426","26,9","29","687"
5/03/2021 12:43:14 p. m.,"447","26,9","29","687"
5/03/2021 12:44:14 p. m.,"426","26,9","29","687"
5/03/2021 12:45:14 p. m.,"415","26,9","29","687"
5/03/2021 12:46:14 p. m.,"436","26,9","29","687"
5/03/2021 12:47:14 p. m.,"431","26,9","29","687"
5/03/2021 12:48:14 p. m.,"442","27,0","29","687"
5/03/2021 12:49:14 p. m.,"415","27,0","29","687"
5/03/2021 12:50:14 p. m.,"417","27,0","29","687"
5/03/2021 12:51:14 p. m.,"575","27,0","31","687"
5/03/2021 12:52:14 p. m.,"473","26,9","32","687"
5/03/2021 12:53:14 p. m.,"477","26,8","33","687"
5/03/2021 12:54:14 p. m.,"449","26,8","32","687"
5/03/2021 12:55:14 p. m.,"519","26,6","32","687"
5/03/2021 12:56:14 p. m.,"571","26,5","32","687"
5/03/2021 12:57:14 p. m.,"535","26,5","32","687"
5/03/2021 12:58:14 p. m.,"488","26,4","32","687"
5/03/2021 12:59:14 p. m.,"473","26,4","32","687"
5/03/2021 1:00:14 p. m.,"464","26,4","32","687"
5/03/2021 1:01:14 p. m.,"466","26,4","32","687"
5/03/2021 1:02:14 p. m.,"446","26,4","32","687"
5/03/2021 1:03:14 p. m.,"431","26,4","32","687"
5/03/2021 1:04:14 p. m.,"422","26,4","32","687"
5/03/2021 1:05:14 p. m.,"424","26,4","32","687"
5/03/2021 1:06:14 p. m.,"413","26,4","32","687"
5/03/2021 1:07:14 p. m.,"440","26,4","32","687"
5/03/2021 1:08:14 p. m.,"433","26,4","32","687"
5/03/2021 1:09:14 p. m.,"437","26,4","32","687"
